update cell_num task.0 task.1 task.2 task.3 task.4 task.5 task.6 task.7 task.8 
72 0 1 0 0 2 0 2 0 0 0 
72 1 1 0 0 2 0 2 0 0 0 
72 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 4 0 1 0 2 0 2 0 0 0 
72 5 1 0 0 0 2 0 2 0 0 
72 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 9 1 0 0 0 2 0 2 0 0 
72 10 1 0 0 2 0 2 0 0 0 
72 11 0 1 0 2 0 2 0 0 0 
72 12 1 0 0 0 2 0 2 0 0 
72 13 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 14 1 0 0 0 2 0 2 0 0 
72 15 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 16 1 0 0 0 2 0 2 0 0 
72 17 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 18 0 1 0 2 0 2 0 0 0 
72 19 0 1 0 2 0 2 0 0 0 
72 20 0 1 0 2 0 2 0 0 0 
72 21 0 1 0 2 0 2 0 0 0 
72 22 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 23 0 1 0 2 0 2 0 0 0 
72 24 0 1 0 2 0 2 0 0 0 
72 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 28 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 35 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 36 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 37 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 38 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 39 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 40 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 41 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 43 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 44 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 45 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 46 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 47 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 
72 49 -1 -1 -1 -1 -1 -1 -1 -1 -1 
