update cell_num task.0 task.1 task.2 task.3 task.4 task.5 task.6 task.7 task.8 
102 0 0 1 0 2 0 2 0 0 0 
102 1 1 0 0 2 0 2 0 0 0 
102 2 1 0 0 0 2 0 2 0 0 
102 3 0 0 0 0 0 0 0 0 0 
102 4 0 1 0 2 0 2 0 0 0 
102 5 1 0 0 0 2 0 2 0 0 
102 6 1 0 0 0 2 0 2 0 0 
102 7 1 0 0 0 2 0 2 0 0 
102 8 0 1 0 2 0 2 0 0 0 
102 9 0 1 0 2 0 2 0 0 0 
102 10 1 0 0 2 0 2 0 0 0 
102 11 0 1 0 2 0 2 0 0 0 
102 12 0 1 0 2 0 2 0 0 0 
102 13 1 0 0 0 2 0 2 0 0 
102 14 1 0 0 0 2 0 2 0 0 
102 15 1 0 0 0 2 0 2 0 0 
102 16 0 1 0 2 0 2 0 0 0 
102 17 0 1 0 2 0 2 0 0 0 
102 18 0 1 0 2 0 2 0 0 0 
102 19 1 0 0 2 0 2 0 0 0 
102 20 1 0 0 2 0 2 0 0 0 
102 21 1 0 0 0 2 0 2 0 0 
102 22 0 1 0 2 0 2 0 0 0 
102 23 0 0 0 0 0 0 0 0 0 
102 24 1 0 0 2 0 2 0 0 0 
102 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 28 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 35 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 36 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 37 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 38 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 39 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 40 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 41 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 43 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 44 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 45 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 46 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 47 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 
102 49 -1 -1 -1 -1 -1 -1 -1 -1 -1 
