update cell_num task.0 task.1 task.2 task.3 task.4 task.5 task.6 task.7 task.8 
57 0 1 0 0 0 2 0 2 0 0 
57 1 1 0 0 0 2 0 2 0 0 
57 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 5 0 1 0 2 0 2 0 0 0 
57 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 9 0 1 0 2 0 2 0 0 0 
57 10 1 0 0 0 2 0 2 0 0 
57 11 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 12 0 1 0 2 0 2 0 0 0 
57 13 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 14 1 0 0 2 0 2 0 0 0 
57 15 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 16 0 1 0 2 0 2 0 0 0 
57 17 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 18 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 19 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 20 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 21 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 22 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 23 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 24 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 28 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 35 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 36 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 37 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 38 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 39 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 40 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 41 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 43 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 44 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 45 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 46 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 47 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 
57 49 -1 -1 -1 -1 -1 -1 -1 -1 -1 
