update cell_num task.0 task.1 task.2 task.3 task.4 task.5 task.6 task.7 task.8 
129 0 1 0 0 0 1 0 0 0 0 
129 1 0 0 0 0 0 0 0 0 0 
129 2 0 0 0 0 0 0 0 0 0 
129 3 0 0 0 0 0 0 0 0 0 
129 4 1 0 0 0 2 0 1 0 0 
129 5 1 0 0 0 1 0 0 0 0 
129 6 1 0 0 0 1 0 0 0 0 
129 7 1 0 0 0 2 0 1 0 0 
129 8 1 0 0 0 2 0 2 0 0 
129 9 1 0 0 1 0 0 0 0 0 
129 10 0 1 0 1 0 0 0 0 0 
129 11 1 0 0 0 0 0 0 0 0 
129 12 1 0 0 2 0 2 0 0 0 
129 13 0 0 0 0 0 0 0 0 0 
129 14 1 0 0 0 1 0 0 0 0 
129 15 0 1 0 2 0 2 0 0 0 
129 16 0 0 0 0 0 0 0 0 0 
129 17 0 1 0 2 0 1 0 0 0 
129 18 0 1 0 1 0 0 0 0 0 
129 19 1 0 0 0 0 0 0 0 0 
129 20 1 0 0 0 2 0 1 0 0 
129 21 0 1 0 1 0 0 0 0 0 
129 22 0 0 0 0 0 0 0 0 0 
129 23 1 0 0 0 2 0 1 0 0 
129 24 0 0 0 0 0 0 0 0 0 
129 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 28 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 35 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 36 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 37 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 38 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 39 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 40 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 41 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 43 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 44 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 45 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 46 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 47 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 
129 49 -1 -1 -1 -1 -1 -1 -1 -1 -1 
