update cell_num task.0 task.1 task.2 task.3 task.4 task.5 task.6 task.7 task.8 
109 0 0 0 0 0 0 0 0 0 0 
109 1 1 0 0 2 0 2 0 0 0 
109 2 1 0 0 0 2 0 2 0 0 
109 3 1 0 0 0 0 0 0 0 0 
109 4 0 1 0 2 0 2 0 0 0 
109 5 1 0 0 0 2 0 2 0 0 
109 6 1 0 0 0 2 0 2 0 0 
109 7 1 0 0 0 2 0 2 0 0 
109 8 0 0 0 0 0 0 0 0 0 
109 9 0 1 0 2 0 2 0 0 0 
109 10 1 0 0 2 0 2 0 0 0 
109 11 0 1 0 2 0 2 0 0 0 
109 12 1 0 0 0 1 0 0 0 0 
109 13 1 0 0 0 2 0 2 0 0 
109 14 1 0 0 0 2 0 2 0 0 
109 15 0 0 0 0 0 0 0 0 0 
109 16 0 1 0 2 0 2 0 0 0 
109 17 0 0 0 0 0 0 0 0 0 
109 18 0 1 0 2 0 2 0 0 0 
109 19 0 1 0 1 0 0 0 0 0 
109 20 1 0 0 2 0 2 0 0 0 
109 21 1 0 0 0 2 0 2 0 0 
109 22 0 1 0 2 0 2 0 0 0 
109 23 1 0 0 0 0 0 0 0 0 
109 24 1 0 0 2 0 2 0 0 0 
109 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 28 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 35 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 36 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 37 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 38 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 39 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 40 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 41 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 43 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 44 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 45 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 46 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 47 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 
109 49 -1 -1 -1 -1 -1 -1 -1 -1 -1 
