update cell_num task.0 task.1 task.2 task.3 task.4 task.5 task.6 task.7 task.8 
108 0 0 1 0 2 0 2 0 0 0 
108 1 1 0 0 2 0 2 0 0 0 
108 2 1 0 0 0 2 0 2 0 0 
108 3 0 0 0 0 0 0 0 0 0 
108 4 0 1 0 2 0 2 0 0 0 
108 5 1 0 0 0 2 0 2 0 0 
108 6 1 0 0 0 2 0 2 0 0 
108 7 1 0 0 0 2 0 2 0 0 
108 8 0 0 0 0 0 0 0 0 0 
108 9 0 1 0 2 0 2 0 0 0 
108 10 1 0 0 2 0 2 0 0 0 
108 11 0 1 0 2 0 2 0 0 0 
108 12 0 0 0 0 0 0 0 0 0 
108 13 1 0 0 0 2 0 2 0 0 
108 14 1 0 0 0 2 0 2 0 0 
108 15 1 0 0 0 2 0 2 0 0 
108 16 0 1 0 2 0 2 0 0 0 
108 17 0 1 0 2 0 2 0 0 0 
108 18 0 1 0 2 0 2 0 0 0 
108 19 0 1 0 1 0 0 0 0 0 
108 20 1 0 0 2 0 2 0 0 0 
108 21 1 0 0 0 2 0 2 0 0 
108 22 0 1 0 2 0 2 0 0 0 
108 23 1 0 0 0 0 0 0 0 0 
108 24 1 0 0 2 0 2 0 0 0 
108 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 28 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 35 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 36 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 37 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 38 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 39 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 40 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 41 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 43 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 44 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 45 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 46 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 47 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 
108 49 -1 -1 -1 -1 -1 -1 -1 -1 -1 
