update cell_num task.0 task.1 task.2 task.3 task.4 task.5 task.6 task.7 task.8 
107 0 0 1 0 2 0 2 0 0 0 
107 1 1 0 0 2 0 2 0 0 0 
107 2 1 0 0 0 2 0 2 0 0 
107 3 0 0 0 0 0 0 0 0 0 
107 4 0 1 0 2 0 2 0 0 0 
107 5 1 0 0 0 2 0 2 0 0 
107 6 1 0 0 0 2 0 2 0 0 
107 7 1 0 0 0 2 0 2 0 0 
107 8 0 1 0 2 0 2 0 0 0 
107 9 0 1 0 2 0 2 0 0 0 
107 10 1 0 0 2 0 2 0 0 0 
107 11 0 1 0 2 0 2 0 0 0 
107 12 0 1 0 2 0 2 0 0 0 
107 13 1 0 0 0 2 0 2 0 0 
107 14 1 0 0 0 2 0 2 0 0 
107 15 1 0 0 0 2 0 2 0 0 
107 16 0 1 0 2 0 2 0 0 0 
107 17 0 1 0 2 0 2 0 0 0 
107 18 0 1 0 2 0 2 0 0 0 
107 19 0 0 0 0 0 0 0 0 0 
107 20 1 0 0 2 0 2 0 0 0 
107 21 1 0 0 0 2 0 2 0 0 
107 22 0 1 0 2 0 2 0 0 0 
107 23 0 0 0 0 0 0 0 0 0 
107 24 1 0 0 2 0 2 0 0 0 
107 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 28 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 35 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 36 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 37 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 38 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 39 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 40 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 41 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 43 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 44 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 45 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 46 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 47 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 
107 49 -1 -1 -1 -1 -1 -1 -1 -1 -1 
