update cell_num task.0 task.1 task.2 task.3 task.4 task.5 task.6 task.7 task.8 
127 0 1 0 0 0 1 0 0 0 0 
127 1 0 1 0 2 0 2 0 0 0 
127 2 0 1 0 1 0 0 0 0 0 
127 3 0 1 0 1 0 0 0 0 0 
127 4 1 0 0 0 1 0 0 0 0 
127 5 1 0 0 0 1 0 0 0 0 
127 6 0 0 0 0 0 0 0 0 0 
127 7 1 0 0 0 1 0 0 0 0 
127 8 1 0 0 0 2 0 1 0 0 
127 9 1 0 0 0 2 0 2 0 0 
127 10 0 0 0 0 0 0 0 0 0 
127 11 1 0 0 0 2 0 2 0 0 
127 12 1 0 0 2 0 1 0 0 0 
127 13 1 0 0 0 1 0 0 0 0 
127 14 0 0 0 0 0 0 0 0 0 
127 15 0 1 0 2 0 1 0 0 0 
127 16 0 0 0 0 0 0 0 0 0 
127 17 0 1 0 1 0 0 0 0 0 
127 18 0 0 0 0 0 0 0 0 0 
127 19 1 0 0 0 0 0 0 0 0 
127 20 1 0 0 0 1 0 0 0 0 
127 21 0 0 0 0 0 0 0 0 0 
127 22 0 1 0 2 0 2 0 0 0 
127 23 1 0 0 0 1 0 0 0 0 
127 24 0 1 0 2 0 1 0 0 0 
127 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 28 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 35 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 36 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 37 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 38 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 39 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 40 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 41 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 43 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 44 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 45 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 46 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 47 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 
127 49 -1 -1 -1 -1 -1 -1 -1 -1 -1 
