update cell_num task.0 task.1 task.2 task.3 task.4 task.5 task.6 task.7 task.8 
95 0 0 1 0 1 0 0 0 0 0 
95 1 0 0 0 0 0 0 0 0 0 
95 2 1 0 0 0 1 0 0 0 0 
95 3 0 0 0 0 0 0 0 0 0 
95 4 0 1 0 1 0 0 0 0 0 
95 5 1 0 0 2 0 2 0 0 0 
95 6 0 1 0 2 0 2 0 0 0 
95 7 1 0 0 0 1 0 0 0 0 
95 8 0 0 0 0 0 0 0 0 0 
95 9 0 1 0 1 0 0 0 0 0 
95 10 0 0 0 0 0 0 0 0 0 
95 11 0 0 0 0 0 0 0 0 0 
95 12 0 1 0 1 0 0 0 0 0 
95 13 1 0 0 0 1 0 0 0 0 
95 14 0 0 0 0 0 0 0 0 0 
95 15 1 0 0 0 1 0 0 0 0 
95 16 0 1 0 1 0 0 0 0 0 
95 17 0 1 0 1 0 0 0 0 0 
95 18 0 0 0 0 0 0 0 0 0 
95 19 1 0 0 1 0 0 0 0 0 
95 20 1 0 0 0 2 0 2 0 0 
95 21 0 1 0 2 0 2 0 0 0 
95 22 0 0 0 0 0 0 0 0 0 
95 23 0 0 0 0 0 0 0 0 0 
95 24 1 0 0 0 2 0 2 0 0 
95 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 28 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 35 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 36 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 37 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 38 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 39 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 40 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 41 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 43 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 44 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 45 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 46 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 47 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 
95 49 -1 -1 -1 -1 -1 -1 -1 -1 -1 
