update cell_num task.0 task.1 task.2 task.3 task.4 task.5 task.6 task.7 task.8 
75 0 1 0 0 2 0 2 0 0 0 
75 1 1 0 0 2 0 2 0 0 0 
75 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 4 0 1 0 2 0 2 0 0 0 
75 5 1 0 0 0 2 0 2 0 0 
75 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 9 1 0 0 0 2 0 2 0 0 
75 10 1 0 0 2 0 2 0 0 0 
75 11 0 1 0 2 0 2 0 0 0 
75 12 1 0 0 0 2 0 2 0 0 
75 13 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 14 1 0 0 0 2 0 2 0 0 
75 15 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 16 1 0 0 0 2 0 2 0 0 
75 17 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 18 0 1 0 2 0 2 0 0 0 
75 19 0 1 0 2 0 2 0 0 0 
75 20 0 1 0 2 0 2 0 0 0 
75 21 0 1 0 2 0 2 0 0 0 
75 22 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 23 0 1 0 2 0 2 0 0 0 
75 24 0 1 0 2 0 2 0 0 0 
75 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 28 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 35 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 36 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 37 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 38 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 39 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 40 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 41 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 43 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 44 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 45 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 46 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 47 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 
75 49 -1 -1 -1 -1 -1 -1 -1 -1 -1 
