update cell_num task.0 task.1 task.2 task.3 task.4 task.5 task.6 task.7 task.8 
81 0 1 0 0 0 1 0 0 0 0 
81 1 1 0 0 0 1 0 0 0 0 
81 2 0 1 0 2 0 1 0 0 0 
81 3 0 1 0 1 0 0 0 0 0 
81 4 1 0 0 0 1 0 0 0 0 
81 5 0 0 0 0 0 0 0 0 0 
81 6 0 1 0 1 0 0 0 0 0 
81 7 0 1 0 1 0 0 0 0 0 
81 8 0 1 0 2 0 1 0 0 0 
81 9 1 0 0 1 0 0 0 0 0 
81 10 1 0 0 0 1 0 0 0 0 
81 11 0 1 0 1 0 0 0 0 0 
81 12 0 0 0 0 0 0 0 0 0 
81 13 0 1 0 1 0 0 0 0 0 
81 14 1 0 0 1 0 0 0 0 0 
81 15 0 1 0 1 0 0 0 0 0 
81 16 1 0 0 1 0 0 0 0 0 
81 17 0 1 0 1 0 0 0 0 0 
81 18 0 1 0 1 0 0 0 0 0 
81 19 1 0 0 0 1 0 0 0 0 
81 20 1 0 0 0 1 0 0 0 0 
81 21 0 1 0 1 0 0 0 0 0 
81 22 0 1 0 2 0 0 0 0 0 
81 23 1 0 0 0 2 0 1 0 0 
81 24 1 0 0 0 1 0 0 0 0 
81 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 28 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 35 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 36 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 37 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 38 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 39 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 40 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 41 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 43 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 44 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 45 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 46 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 47 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 
81 49 -1 -1 -1 -1 -1 -1 -1 -1 -1 
