# Sat Feb 18 01:08:21 2017
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

14300 5 1.08501 5 0.139219 1.09051 
14400 5 1.17259 5 0.193257 1.14713 
14500 5 1.3357 5 0.192556 1.13733 
14600 5 1.14307 6 0.126699 1.0794 
14700 5 1.21472 5 0.182914 1.14215 
14800 5 1.20441 5 0.165749 1.12197 
14900 5 1.26838 5 0.195588 1.15377 
15000 5 1.24503 5 0.168625 1.12686 
15100 5 1.26298 5 0.211786 1.16982 
15200 5 1.29325 5 0.168377 1.11553 
15300 5 1.23393 6 0.144081 1.09192 
15400 5 1.2572 6 0.158302 1.11065 
15500 5 1.25296 6 0.161974 1.11671 
15600 5 1.35929 6 0.207382 1.1633 
15700 5 1.31656 6 0.147477 1.09411 
15800 6 1.34591 7 0.207784 1.1652 
15900 6 1.39289 8 0.202012 1.15817 
16000 6 1.37021 8 0.1983 1.15165 
16100 6 1.34446 7 0.181352 1.13028 
16200 6 1.43886 9 0.230631 1.18358 
16300 6 1.4328 10 0.257303 1.20993 
16400 6 1.40022 9 0.211389 1.15739 
16500 6 1.45177 8 0.24764 1.20309 
16600 6 1.47142 9 0.252598 1.21308 
16700 6 1.50092 9 0.243547 1.19659 
16800 6 1.44463 8 0.218166 1.16919 
16900 6 1.43863 9 0.261156 1.22159 
17000 6 1.48195 9 0.313001 1.26631 
17100 6 1.48371 8 0.238368 1.18874 
17200 6 1.37828 8 0.320693 1.29641 
17300 6 1.46108 9 0.342884 1.3137 
17400 6 1.37903 10 0.291493 1.26018 
17500 7 1.37866 11 0.277204 1.24063 
17600 7 1.45544 9 0.350648 1.319 
17700 7 1.5405 10 0.370944 1.33024 
17800 7 1.56947 10 0.327826 1.28426 
17900 7 1.59067 11 0.346285 1.30724 
18000 7 1.54943 11 0.37535 1.34317 
18100 7 1.51195 10 0.403025 1.37763 
18200 8 1.6529 10 0.334963 1.30197 
18300 8 1.58633 13 0.425716 1.39416 
18400 8 1.65838 13 0.471607 1.4374 
18500 8 1.64094 12 0.395614 1.35647 
18600 8 1.69602 13 0.367482 1.32967 
18700 8 1.65523 13 0.471103 1.4411 
18800 8 1.58611 12 0.486516 1.45555 
18900 8 1.71207 11 0.437446 1.40254 
19000 7 1.75197 11 0.533724 1.50343 
19100 7 1.58564 11 0.525767 1.507 
19200 7 1.57991 11 0.476997 1.45871 
19300 7 1.69519 11 0.373914 1.34769 
19400 7 1.56376 10 0.57293 1.55718 
19500 7 1.58494 11 0.569276 1.55437 
19600 7 1.83334 10 0.451046 1.41078 
19700 7 1.77197 10 0.541903 1.51434 
19800 7 1.6192 10 0.553378 1.53034 
19900 7 1.77001 11 0.547132 1.51986 
20000 7 1.87234 10 0.502589 1.46951 
20100 7 1.60112 10 0.596727 1.56493 
20200 8 1.7963 11 0.629146 1.59891 
20300 9 1.89543 12 0.56319 1.52995 
20400 9 1.88083 12 0.569798 1.54312 
20500 9 1.80503 12 0.627632 1.61241 
20600 9 1.81023 12 0.624015 1.6047 
20700 8 1.86199 10 0.613686 1.59769 
20800 8 1.6247 11 0.685813 1.66469 
20900 8 1.87583 12 0.660054 1.6399 
21000 8 1.80679 11 0.660845 1.62768 
21100 8 1.95436 11 0.627727 1.6103 
21200 8 1.95357 11 0.669779 1.65766 
21300 8 1.81579 12 0.730308 1.7209 
