# Avida reaction data
# Sat Feb 18 01:08:21 2017
# First column gives the current update, all further columns give the number
# of currently living organisms each reaction has affected.
#  1: Update
#  2: NOT
#  3: NAND
#  4: AND
#  5: ORN
#  6: OR
#  7: ANDN
#  8: NOR
#  9: XOR
# 10: EQU

0 400 0 0 0 0 0 0 0 0 
100 9882 0 0 0 0 0 0 0 0 
200 9918 0 0 0 0 0 0 0 0 
300 9744 0 0 0 0 0 0 0 0 
400 9526 0 0 0 0 0 0 0 0 
500 9625 0 0 0 0 0 0 0 0 
600 9699 0 0 0 0 0 0 0 0 
700 2872 0 0 0 0 0 0 0 0 
800 8708 0 0 0 0 0 0 0 0 
900 8746 0 0 0 0 0 0 0 0 
1000 8726 0 0 0 0 0 0 0 0 
1100 8766 0 0 0 0 0 0 0 0 
1200 8676 0 0 0 0 0 0 0 0 
1300 6466 0 0 0 0 0 0 0 0 
1400 7199 0 0 0 0 0 0 0 0 
1500 8194 0 0 0 0 0 0 0 0 
1600 8155 0 0 0 0 0 0 0 0 
1700 8128 0 0 0 0 0 0 0 0 
1800 8171 0 0 0 0 0 0 0 0 
1900 8103 0 0 0 0 0 0 0 0 
2000 2930 0 0 0 0 0 0 0 0 
2100 7988 0 0 0 0 0 0 0 0 
2200 8113 0 0 0 0 0 0 0 0 
2300 8095 0 0 0 0 0 0 0 0 
2400 8109 0 0 0 0 0 0 0 0 
2500 8003 0 0 0 0 0 0 0 0 
2600 6938 0 0 0 0 0 0 0 0 
2700 4879 0 0 0 0 0 0 0 0 
2800 7718 0 0 0 0 0 0 0 0 
2900 7773 0 0 0 0 0 0 0 0 
3000 7787 0 0 0 0 0 0 0 0 
3100 7741 0 0 0 0 0 0 0 0 
3200 7739 0 0 0 0 0 0 0 0 
3300 3606 0 0 0 0 0 0 0 0 
3400 7470 0 0 0 0 0 0 0 0 
3500 7985 0 0 0 0 0 0 0 0 
3600 8008 0 0 0 0 0 0 0 0 
3700 7939 0 0 0 0 0 0 0 0 
3800 7984 0 0 0 0 0 0 0 0 
3900 7476 0 0 0 0 0 0 0 0 
4000 4350 0 0 0 0 0 0 0 0 
4100 7951 0 0 0 0 0 0 0 0 
4200 8006 0 0 0 0 0 0 0 0 
4300 7951 0 0 0 0 0 0 0 0 
4400 7867 0 0 0 0 0 0 0 0 
4500 7981 0 0 0 0 0 0 0 0 
4600 5089 0 0 0 0 0 0 0 0 
4700 6519 16 0 0 0 0 0 0 0 
4800 7974 25 0 0 0 0 0 0 0 
4900 7961 23 0 0 0 0 0 0 0 
5000 7828 25 0 0 0 0 0 0 0 
5100 7880 25 0 0 0 0 0 0 0 
5200 7722 25 0 0 0 0 0 0 0 
5300 4661 25 0 0 0 0 0 0 0 
5400 7604 26 0 0 0 0 0 0 0 
5500 7890 24 0 0 0 0 0 0 0 
5600 7876 21 0 0 0 0 0 0 0 
5700 7837 25 0 0 0 0 0 0 0 
5800 7764 23 0 0 0 0 0 0 0 
5900 5433 25 0 0 0 0 0 0 0 
6000 5874 17 0 0 0 0 0 0 0 
6100 7726 23 0 0 0 0 0 0 0 
6200 7816 25 0 0 0 0 0 0 0 
6300 7748 22 0 0 0 0 0 0 0 
6400 7749 25 0 0 0 0 0 0 0 
6500 7247 24 0 0 0 0 0 0 0 
6600 4610 10 0 0 0 0 0 0 0 
6700 6906 50 0 0 0 0 0 0 0 
6800 7491 46 0 0 0 0 0 0 0 
6900 7425 50 0 0 0 0 0 0 0 
7000 7330 45 0 0 0 0 0 0 0 
7100 7096 46 0 0 0 0 0 0 0 
7200 5567 22 0 0 0 0 0 0 0 
7300 5397 32 0 0 0 0 0 0 0 
7400 7633 50 0 0 0 0 0 0 0 
7500 7615 45 0 0 0 0 0 0 0 
7600 7515 48 0 0 0 0 0 0 0 
7700 7337 50 0 0 0 0 0 0 0 
