# Avida Dominant Data
# Sat Feb 18 01:08:20 2017
#  1: Update
#  2: Average Merit of the Dominant Genotype
#  3: Average Gestation Time of the Dominant Genotype
#  4: Average Fitness of the Dominant Genotype
#  5: Repro Rate?
#  6: Size of Dominant Genotype
#  7: Copied Size of Dominant Genotype
#  8: Executed Size of Dominant Genotype
#  9: Abundance of Dominant Genotype
# 10: Number of Births
# 11: Number of Dominant Breed True?
# 12: Dominant Gene Depth
# 13: Dominant Breed In
# 14: Max Fitness?
# 15: Genotype ID of Dominant Genotype
# 16: Name of the Dominant Genotype

4900 97 387 0.250646 0.00258398 100 100 0 1400 70 70 0 0 0.250646 1 100-aaaaa 
5000 97 387 0.250646 0.00258398 100 100 0 1350 52 52 0 0 0.250646 1 100-aaaaa 
5100 97 387 0.250646 0.00258398 100 100 0 1325 64 64 0 0 0.250646 1 100-aaaaa 
5200 97 387 0.250646 0.00258398 100 100 0 1325 83 83 0 0 0.250646 1 100-aaaaa 
5300 97 387 0.250646 0.00258398 100 100 0 649 27 27 0 0 0.250646 1 100-aaaaa 
5400 97 387 0.250646 0.00258398 100 100 0 1011 68 68 0 0 0.250646 1 100-aaaaa 
5500 97 387 0.250646 0.00258398 100 100 0 1050 78 78 0 0 0.250646 1 100-aaaaa 
5600 97 387 0.250646 0.00258398 100 100 0 1050 67 67 0 0 0.250646 1 100-aaaaa 
5700 97 387 0.250646 0.00258398 100 100 0 1050 50 50 0 0 0.250646 1 100-aaaaa 
5800 97 387 0.250646 0.00258398 100 100 0 1050 70 70 0 0 0.250646 1 100-aaaaa 
5900 97 387 0.250646 0.00258398 100 100 0 603 34 34 0 0 0.250646 1 100-aaaaa 
6000 97 387 0.250646 0.00258398 100 100 0 475 22 22 0 0 0.250646 1 100-aaaaa 
6100 97 387 0.250646 0.00258398 100 100 0 675 50 50 0 0 0.250646 1 100-aaaaa 
6200 97 387 0.250646 0.00258398 100 100 0 675 37 37 0 0 0.250646 1 100-aaaaa 
6300 97 387 0.250646 0.00258398 100 100 0 675 35 35 0 0 0.250646 1 100-aaaaa 
6400 97 387 0.250646 0.00258398 100 100 0 675 45 45 0 0 0.250646 1 100-aaaaa 
6500 97 387 0.250646 0.00258398 100 100 0 625 35 35 0 0 0.250646 1 100-aaaaa 
6600 97 387 0.250646 0.00258398 100 100 0 312 7 7 0 0 0.250646 1 100-aaaaa 
6700 97 387 0.250646 0.00258398 100 100 0 332 12 12 0 0 0.250646 1 100-aaaaa 
6800 97 387 0.250646 0.00258398 100 100 0 400 16 16 0 0 0.250646 1 100-aaaaa 
6900 97 387 0.250646 0.00258398 100 100 0 400 22 22 0 0 0.250646 1 100-aaaaa 
7000 97 387 0.250646 0.00258398 100 100 0 375 17 17 0 0 0.250646 1 100-aaaaa 
7100 97 387 0.250646 0.00258398 100 100 0 350 22 22 0 0 0.250646 1 100-aaaaa 
7200 97 387 0.250646 0.00258398 100 100 0 278 12 12 0 0 0.250646 1 100-aaaaa 
