# Avida deme replication data
# Sat Feb 18 01:08:21 2017
#  1: Update [update]
#  2: Number of deme replications [numrepl]
#  3: Mean deme gestation time [gesttime]
#  4: Mean number of births within replicated demes [numbirths]
#  5: Mean heritable merit of replicated demes [merit]
#  6: Mean generation of replicated demes [generation]
#  7: Mean density of replicated demes [density]

14700 19 447.421 429.737 1 27.5263 0.983158 
14800 21 431.143 366.143 1 27.2381 0.980952 
14900 27 471.926 558.444 1 26.9259 1 
15000 46 469.783 540.826 1 27.2826 1 
15100 83 599.253 736.687 1 23.5181 1 
15200 69 590.652 734.435 1 24.1014 1 
15300 24 562.958 690.917 1 25.6667 1 
15400 25 377.64 409.44 1 31.32 1 
15500 24 464.833 477 1 28.3333 0.985 
15600 26 552.115 676.538 1 26.2692 1 
15700 76 530.987 633.263 1 27.1316 1 
15800 58 583.086 719.724 1 25.8103 1 
15900 53 572.17 706.472 1 25.8491 1 
16000 16 581.125 725.188 1 28.1875 1 
16100 49 418.061 469.612 1 31.8571 1 
16200 41 447.585 518.61 1 30.122 1 
16300 28 584.75 644.714 1 26.2857 0.978571 
16400 75 559.093 675.893 1 27.9733 1 
16500 83 526.434 636.048 1 28.8072 1 
16600 32 490.25 580.5 1 30.3125 1 
16700 15 624.067 789.267 1 27.8667 1 
16800 78 435.654 490.821 1 32.9615 1 
16900 25 428.24 470.8 1 32.56 1 
17000 25 608.6 721.56 1 27.08 0.9936 
17100 78 516.038 611.91 1 31.2949 1 
17200 77 493.377 577.442 1 32 1 
17300 35 494.914 583.914 1 32.6286 1 
17400 26 504.692 581.769 1 31.9615 1 
17500 61 403.852 439.279 1 36.3934 1 
17600 29 391.966 411.724 1 36.5862 1 
17700 44 564.182 683.545 1 30.3864 1 
17800 69 540.203 628.13 1 32.029 0.986667 
17900 75 454.227 517.08 1 35.2533 1 
18000 30 431.867 472.233 1 35.7333 1 
18100 18 493.611 579.556 1 36.2778 1 
18200 67 393.627 416.612 1 39.1642 0.986866 
18300 46 417.565 447.217 1 37.1957 1 
18400 61 525.033 625.426 1 33.8361 1 
18500 73 530.274 603.986 1 33.9452 0.986849 
18600 59 397.203 421.678 1 40 1 
18700 37 369.459 371.162 1 41.4054 0.989189 
18800 19 467.158 535.474 1 39.3158 1 
18900 66 394.621 427.864 1 40.8939 1 
19000 106 432.415 484.17 1 38.7642 1 
19100 33 573.788 686.273 1 32.7576 1 
19200 28 484.643 569.893 1 38.5714 1 
19300 105 359.99 373.457 1 43.0762 0.992 
19400 28 420.214 466.964 1 42 1 
19500 15 479.267 569.933 1 40.1333 1 
19600 83 421.422 478.349 1 41.6386 1 
19700 99 429.283 479.848 1 40.7576 1 
19800 28 519.179 628.036 1 38.7143 1 
19900 15 432.6 493.533 1 42.8667 1 
20000 98 369.52 379.459 1 45 0.99102 
20100 47 395.511 431.404 1 43.5319 1 
20200 33 528.424 629.303 1 40.4545 1 
20300 69 408.71 431.043 1 44.5072 1 
20400 87 399.609 428.77 1 44.0115 1 
20500 28 440.786 481 1 43.6429 1 
20600 40 360.175 379.775 1 47.5 1 
20700 84 395.655 412.31 1 45.4405 0.989524 
20800 71 401.958 431 1 45.3099 1 
20900 40 369.1 381.45 1 47.925 1 
21000 48 449.792 507.604 1 44.6042 1 
21100 99 369.848 386.818 1 47.5152 1 
21200 35 350.286 356.829 1 49.4857 1 
21300 41 396.39 425.732 1 47.7317 1 
21400 81 389.877 415.63 1 46.9383 1 
21500 81 355.975 368.296 1 49.3827 1 
21600 40 415.875 451.525 1 47.975 1 
21700 44 390.432 417.023 1 49.0909 1 
21800 99 361.505 371.242 1 49.9495 1 
21900 55 401.782 430.909 1 48.5455 1 
22000 36 384.583 411.222 1 50.5278 1 
22100 68 384.441 402.029 1 50.5294 1 
22200 99 349.636 348.162 1 51.798 1 
22300 29 392.379 409.069 1 50.8621 1 
22400 62 353.613 355.968 1 51.3226 1 
22500 104 384.077 384.817 1 51.8173 0.999231 
22600 47 350.511 353.915 1 53.1064 1 
22700 49 372.592 390.102 1 53.0612 1 
22800 84 349.5 355.762 1 53.9286 1 
22900 67 358.746 364.493 1 53.3881 1 
23000 45 385.578 411.978 1 53.2 1 
23100 73 334.959 324.096 1 55.1233 0.993425 
23200 74 372.351 390.608 1 54.2027 1 
23300 64 338.766 327.141 1 55.5 0.999375 
23400 72 360.528 377.861 1 55.9167 1 
23500 65 309.6 302.554 1 57.5692 1 
23600 80 378.675 399.762 1 54.375 1 
23700 82 334.183 321.415 1 57.2561 0.993171 
23800 60 331.967 340.917 1 58.4 1 
23900 73 356.945 372.178 1 57.0959 1 
24000 76 326.158 325.171 1 58.3289 1 
24100 67 330.91 337.731 1 58.7761 1 
24200 61 305.951 286.852 1 59.9016 0.989508 
24300 72 357.056 364.528 1 58.0417 1 
24400 104 296.144 281.798 1 61.2019 1 
24500 32 413.594 460.875 1 59.2812 1 
24600 85 327.388 322.047 1 60.9294 0.992471 
24700 88 355.534 369.614 1 60.0455 1 
24800 61 322.131 305.574 1 62.1148 0.99082 
24900 52 306.577 299.519 1 62.6538 1 
25000 84 330.429 331.929 1 61.369 1 
25100 102 292.088 275.578 1 64.451 0.993333 
25200 22 375.409 397.909 1 62.3182 1 
25300 121 281.727 260.256 1 65.157 1 
25400 69 329.348 331.101 1 62.7246 1 
25500 80 279.538 264.45 1 66.9 1 
25600 51 306.059 298.216 1 65.6863 1 
25700 112 319.83 321.089 1 65.5536 1 
25800 67 294.567 289.09 1 67.597 1 
25900 41 319.854 320.707 1 67.3415 1 
26000 130 268.715 245.431 1 68.8077 1 
26100 50 363.66 390.76 1 65.96 1 
26200 114 255.904 226.632 1 70.5965 1 
26300 51 330.843 332.529 1 67.9412 1 
26400 104 261.413 237.269 1 70.8654 1 
26500 78 285.679 272.308 1 69.5385 1 
26600 71 274.042 259.056 1 72.0986 1 
26700 100 274.31 256.58 1 72.22 1 
26800 58 320.603 325.776 1 69.9828 0.99931 
26900 124 253.516 226.556 1 73.3952 1 
27000 41 324.073 337.683 1 71.2195 1 
27100 109 248.33 217.716 1 74.9541 1 
27200 62 313.226 318.855 1 72.2419 1 
27300 95 258.474 237.211 1 75.6316 1 
27400 68 268.529 247.779 1 75.8529 1 
27500 99 281.939 274.051 1 74.9192 1 
27600 90 263.922 245.522 1 76.3667 1 
27700 57 279.667 269.842 1 77.1754 1 
27800 130 249.992 222.377 1 77.3615 1 
27900 64 287.125 285.438 1 76.7344 1 
28000 102 236.382 200.353 1 79.5686 0.997255 
28100 71 257.042 236.986 1 78.831 1 
28200 119 249.176 219.874 1 79.4538 1 
28300 78 264.91 246.526 1 79.4744 1 
28400 98 274.643 261.878 1 80.3878 1 
28500 80 255.775 229.575 1 80.925 1 
28600 77 265.013 248.052 1 80.2987 1 
28700 111 249.973 223.928 1 82.0991 1 
28800 64 288.422 287.531 1 81.5469 1 
28900 94 246.277 215.372 1 82.9681 1 
29000 90 276.233 271.2 1 82.6778 1 
29100 95 276.032 263.105 1 83.2211 1 
29200 78 253.205 234.372 1 84.4487 1 
29300 68 279.735 271.779 1 84.5735 1 
29400 117 269.615 257.017 1 84.5043 1 
29500 60 265.033 256.167 1 85.15 1 
